window_id,scenario,group,factual_accuracy,completeness,situational_awareness,avg_score,factual_accuracy_reason,completeness_reason,situational_awareness_reason
1,STABLE,Baseline,3,4,4,3.67,"The report incorrectly mentions Russia as a top threat origin, which is not present in the ground truth data.",The report covers most critical signals but does not mention the DDoS status or risk score.,The report's assessment of a moderate level of threat activity is slightly overstated given the DDoS status is SAFE and no services are abnormal.
1,STABLE,Cybersum,4,5,5,4.67,"The report states 1,235 blocked events, but the ground truth shows 2,275.","All required signals, including service status, DDoS status, risk score, top threat origins, and infrastructure performance, are addressed.","The report correctly assesses the situation as stable, matching the ground truth of no abnormal services and DDoS SAFE status."
2,STATUS_A,Baseline,3,4,4,3.67,"The report incorrectly mentions attack origins from Russia and Germany, which are not present in the ground truth data.",The report covers most critical signals but inaccurately lists some threat origins not present in the ground truth.,The report's assessment of a moderate threat level is slightly overstated given the DDoS status is SAFE and no services are abnormal.
2,STATUS_A,Cybersum,3,4,4,3.67,"The report states 4,830 blocked events, but the ground truth shows 9,302.",The report covers all critical signals except for the correct total blocked event volume.,"The report correctly assesses the situation as stable, matching the ground truth of no abnormal services and DDoS SAFE status."
3,STATUS_B,Baseline,3,4,4,3.67,"The report incorrectly states that Germany and Singapore are notable sources of attacks, which are not mentioned in the ground truth.",The report covers most critical signals but omits the specific DDoS risk score and status.,The report correctly identifies a moderate threat level but slightly understates the DDoS warning status.
3,STATUS_B,Cybersum,3,4,4,3.67,"The report incorrectly states the total blocked events as 5,935 instead of 11,369.",The report covers all critical signals except for the correct total blocked event volume.,"The report correctly identifies the DDoS status as WARNING and notes elevated risk, but slightly understates the total blocked events."
4,STATUS_C,Baseline,2,2,2,2.0,"The report incorrectly states that the infrastructure is stable, while the ground truth shows the 'Main Web Portal' service is Paused.",The report fails to mention the critical DDoS status and the paused state of the 'Main Web Portal' service.,"The report describes the situation as stable, which is incorrect given the critical DDoS status and a paused service."
4,STATUS_C,Cybersum,3,5,5,4.33,"The report states 6,023 blocked events, but the ground truth shows 11,646.","All critical signals, including the paused service, DDoS status, and infrastructure performance, are addressed.",The report correctly identifies the situation as critical due to the paused service and critical DDoS status.
5,STATUS_C,Baseline,2,2,2,2.0,"The report incorrectly states the infrastructure is stable, while the ground truth shows services are Paused and Down, and DDoS status is CRITICAL.",The report fails to mention the Paused and Down services and the CRITICAL DDoS status.,"The report describes the situation as stable, which is significantly wrong given the critical incidents in the ground truth."
5,STATUS_C,Cybersum,3,5,5,4.33,"The report incorrectly states the total blocked events as 6,232 instead of 12,072.","All critical signals, including service outages, DDoS status, and infrastructure performance, are addressed.",The report correctly identifies the situation as critical due to service disruptions and a CRITICAL DDoS status.
