window_id,scenario,group,factual_accuracy,completeness,situational_awareness,avg_score,factual_accuracy_reason,completeness_reason,situational_awareness_reason
1,STABLE,Baseline,2.67,3.67,4.0,3.45,"The report incorrectly mentions Russia as a top threat origin, which is not present in the ground truth data.","The report fails to mention the DDoS status and risk score, which are critical signals.","The report describes the situation as moderate, which is slightly overstated given the DDoS status is SAFE and no services are abnormal."
1,STABLE,Cybersum,4.0,5.0,5.0,4.67,"The report underestimates the total blocked events as 1,235 instead of 2,275.","All critical signals, including service status, DDoS status, risk score, and top threat origins, are addressed.","The report correctly assesses the situation as stable, matching the ground truth data."
2,STATUS_A,Baseline,3.0,4.0,4.0,3.67,"The report incorrectly mentions attack origins from Russia and Germany, which are not present in the ground truth data.",The report covers all critical signals except for the DDoS health status and risk score.,"The report describes the situation as moderate, which is slightly overstated given the DDoS status is SAFE and no services are abnormal."
2,STATUS_A,Cybersum,3.0,4.0,4.33,3.78,"The report inaccurately states the total blocked events as 4,830 instead of 9,302.",The report covers all critical signals except for the correct total blocked event volume.,"The report correctly assesses the situation as stable with no service disruptions and a low DDoS risk, but underreports the block volume, slightly understating the threat level."
3,STATUS_B,Baseline,3.0,4.0,4.0,3.67,"The report incorrectly states that Germany and Singapore are notable threat origins, which are not mentioned in the ground truth.",The report covers most critical signals but omits the specific DDoS health status and risk score.,The report correctly identifies a moderate threat level but does not emphasize the DDoS WARNING status.
3,STATUS_B,Cybersum,3.0,4.0,4.0,3.67,"The report states 5,935 blocked events, which contradicts the ground truth of 11,369.",The report covers all critical signals except for the total blocked event volume which is inaccurately reported.,"The report correctly identifies the DDoS status as WARNING and notes elevated risk levels, matching the ground truth."
4,STATUS_C,Baseline,2.0,2.0,2.0,2.0,"The report incorrectly states that the infrastructure is stable, while the ground truth shows the Main Web Portal service is Paused and DDoS status is CRITICAL.",The report fails to mention the critical status of the DDoS and the Paused state of the Main Web Portal service.,"The report describes the situation as moderate and stable, which is inaccurate given the critical DDoS status and a paused service."
4,STATUS_C,Cybersum,3.0,4.67,5.0,4.22,"The report states 6,023 blocked events, but the ground truth shows 11,646.","All critical signals, including the paused service, DDoS status, and infrastructure performance, are addressed.",The report correctly identifies the situation as critical due to the paused service and DDoS status.
5,STATUS_C,Baseline,2.0,2.0,1.67,1.89,"The report incorrectly states that the infrastructure is stable, while the ground truth shows 'Main Web Portal' is Paused and 'Login Service' is Down.",The report fails to mention the critical service outages and the CRITICAL DDoS status.,"The report describes the situation as stable, which is significantly wrong given the critical service outages and DDoS status."
5,STATUS_C,Cybersum,2.67,4.67,5.0,4.11,"The report incorrectly states the total blocked events as 6,232 instead of 12,072.","All critical signals, including service outages, DDoS status, and infrastructure performance, are addressed.",The report accurately describes the situation as critical due to service disruptions and a CRITICAL DDoS status.
